                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  1.233,                 1.3318,                0.94279,                0.79984,                0.30951,                0.30141,                0.15352,                 1.1624,                 1.1363,                 1.0004,                0.00604,                0.00604,                0.00604
                     90,                 1.2577,                 1.4143,                0.96393,                0.80501,                0.30165,                0.29823,                0.15228,                 1.1736,                 1.1298,                 1.0057,               0.005995,               0.005995,               0.005995
                     91,                 1.3925,                 1.5641,                 1.0355,                0.81164,                0.30992,                0.30771,                0.15707,                  1.163,                  1.153,                  1.002,                0.00595,                0.00595,                0.00595
                     92,                 1.3619,                 1.4725,                 1.0827,                0.81561,                0.29339,                0.30393,                0.15013,                 1.1546,                 1.1516,                0.99298,               0.005905,               0.005905,               0.005905
                     93,                 1.2211,                 1.3959,                0.91442,                  0.821,                0.29642,                0.31749,                0.15835,                  1.161,                 1.1385,                0.99512,                0.00586,                0.00586,                0.00586
                     94,                 1.2993,                 1.5174,                0.98853,                0.82048,                0.30579,                0.30863,                0.15863,                 1.1571,                 1.1368,                 0.9963,               0.005815,               0.005815,               0.005815
                     95,                 1.3274,                 1.4972,                0.99274,                0.82727,                0.31818,                0.31675,                  0.161,                 1.1572,                 1.1223,                0.99884,                0.00577,                0.00577,                0.00577
                     96,                 1.3135,                  1.501,                 1.0194,                0.81379,                0.31818,                 0.3147,                0.15895,                  1.153,                 1.1379,                0.99582,               0.005725,               0.005725,               0.005725
                     97,                 1.3293,                 1.5566,                0.99856,                0.84172,                0.29752,                0.31918,                0.15779,                 1.1513,                  1.133,                0.99433,                0.00568,                0.00568,                0.00568
                     98,                 1.2211,                 1.3533,                0.95601,                0.83065,                0.30165,                0.31225,                 0.1559,                 1.1466,                 1.1495,                0.99165,               0.005635,               0.005635,               0.005635
                     99,                 1.2093,                 1.2932,                0.90624,                0.82829,                0.31818,                0.30995,                0.15725,                 1.1438,                 1.1436,                0.99119,                0.00559,                0.00559,                0.00559
                    100,                 1.2122,                 1.2906,                0.94218,                0.84369,                0.30992,                0.32373,                 0.1632,                 1.1431,                  1.141,                0.99029,               0.005545,               0.005545,               0.005545
                    101,                 1.2409,                 1.3982,                0.93992,                0.82798,                0.31405,                0.32215,                0.16578,                 1.1389,                 1.1322,                0.98839,                 0.0055,                 0.0055,                 0.0055
                    102,                 1.2267,                 1.3054,                0.95306,                0.83702,                0.30992,                0.32617,                0.16592,                 1.1506,                 1.1202,                0.99525,               0.005455,               0.005455,               0.005455
                    103,                 1.3835,                 1.5112,                  1.074,                0.82347,                0.32558,                0.32658,                0.16426,                  1.149,                 1.1122,                0.99519,                0.00541,                0.00541,                0.00541
                    104,                 1.3313,                 1.4237,                 1.0209,                0.83327,                0.32231,                0.32256,                0.16473,                 1.1453,                 1.1053,                0.99232,               0.005365,               0.005365,               0.005365
                    105,                 1.3133,                 1.4087,                0.98655,                0.84148,                0.32645,                0.32145,                0.16669,                 1.1427,                 1.1135,                0.99023,                0.00532,                0.00532,                0.00532
                    106,                 1.3156,                 1.4061,                 1.0072,                0.84274,                0.31818,                0.32594,                0.16905,                 1.1426,                 1.1129,                0.99094,               0.005275,               0.005275,               0.005275
                    107,                 1.3314,                  1.406,                 1.0102,                0.83811,                0.31405,                0.32371,                0.16874,                 1.1489,                 1.1122,                0.99452,                0.00523,                0.00523,                0.00523
                    108,                 1.1922,                 1.3067,                 0.9109,                0.82897,                0.30999,                0.32254,                0.16843,                 1.1441,                 1.1087,                0.99124,               0.005185,               0.005185,               0.005185
                    109,                 1.3418,                 1.3888,                 1.0135,                0.82593,                0.30174,                0.32039,                 0.1696,                 1.1402,                 1.1041,                0.98925,                0.00514,                0.00514,                0.00514
                    110,                 1.2823,                 1.3961,                 1.0212,                0.82881,                 0.3016,                0.32227,                0.17271,                 1.1316,                 1.0948,                0.98411,               0.005095,               0.005095,               0.005095
                    111,                 1.2334,                 1.3207,                0.93344,                0.83099,                0.31818,                 0.3222,                0.17101,                 1.1272,                 1.0831,                0.98175,                0.00505,                0.00505,                0.00505
                    112,                 1.2277,                 1.2347,                0.92629,                 0.8191,                0.32801,                 0.3188,                0.17124,                 1.1201,                 1.0821,                 0.9789,               0.005005,               0.005005,               0.005005
                    113,                 1.3393,                 1.4159,                 1.0375,                0.82503,                0.31818,                0.32369,                0.17405,                 1.1163,                 1.0749,                0.98032,                0.00496,                0.00496,                0.00496
                    114,                 1.1765,                 1.2586,                0.91697,                0.83083,                0.31515,                0.32391,                0.17522,                 1.1157,                 1.0679,                0.98028,               0.004915,               0.004915,               0.004915
                    115,                 1.2788,                 1.3604,                 0.9719,                0.84224,                0.29584,                0.33236,                0.18007,                   1.11,                 1.0589,                0.97635,                0.00487,                0.00487,                0.00487
                    116,                 1.2501,                 1.2798,                0.94288,                0.84026,                0.29752,                0.33477,                 0.1821,                 1.1071,                 1.0503,                0.97325,               0.004825,               0.004825,               0.004825
                    117,                 1.3926,                 1.4845,                 1.0848,                0.84817,                0.30579,                0.33477,                0.18263,                 1.1092,                 1.0531,                0.97312,                0.00478,                0.00478,                0.00478
                    118,                 1.1484,                 1.2506,                0.87065,                0.83379,                0.30992,                0.33654,                0.18366,                 1.1026,                 1.0596,                0.96889,               0.004735,               0.004735,               0.004735
                    119,                 1.2417,                 1.2886,                0.95285,                0.83913,                0.31405,                 0.3363,                0.18353,                 1.1005,                 1.0546,                  0.971,                0.00469,                0.00469,                0.00469
                    120,                 1.2144,                 1.3441,                0.92127,                 0.8433,                0.30992,                0.33514,                0.18365,                 1.0978,                 1.0551,                0.96872,               0.004645,               0.004645,               0.004645
                    121,                 1.2658,                  1.329,                 1.0236,                0.84032,                0.30825,                0.33951,                0.18403,                 1.0923,                 1.0564,                0.96566,                 0.0046,                 0.0046,                 0.0046
                    122,                 1.1763,                 1.2417,                0.94103,                0.84635,                0.30579,                0.33766,                 0.1856,                 1.0902,                  1.053,                0.96445,               0.004555,               0.004555,               0.004555
                    123,                 1.1297,                 1.1318,                0.86835,                0.84906,                0.30579,                0.33879,                0.18588,                 1.0908,                  1.047,                0.96363,                0.00451,                0.00451,                0.00451
                    124,                 1.3316,                 1.3577,                 1.0327,                0.85446,                0.30579,                0.33941,                0.18669,                 1.0908,                 1.0439,                0.96381,               0.004465,               0.004465,               0.004465
                    125,                 1.2926,                 1.2856,                 0.9897,                0.86002,                0.30579,                0.34267,                0.19194,                  1.089,                 1.0434,                0.96206,                0.00442,                0.00442,                0.00442
                    126,                 1.2498,                 1.2899,                  0.954,                0.86535,                0.30579,                0.34406,                 0.1926,                 1.0849,                 1.0441,                   0.96,               0.004375,               0.004375,               0.004375
                    127,                 1.1585,                 1.1611,                0.89409,                0.86988,                0.30541,                0.34673,                0.19364,                 1.0814,                 1.0461,                0.95804,                0.00433,                0.00433,                0.00433
                    128,                 1.2417,                 1.3165,                0.98311,                0.86142,                0.30174,                0.34856,                0.19574,                 1.0778,                 1.0413,                0.95886,               0.004285,               0.004285,               0.004285
                    129,                   1.21,                  1.244,                0.95623,                0.86989,                0.30545,                0.35023,                0.19512,                 1.0766,                 1.0415,                0.95617,                0.00424,                0.00424,                0.00424
                    130,                 1.2636,                 1.2885,                0.97409,                0.86475,                0.30165,                0.34967,                0.19568,                 1.0782,                 1.0346,                0.95772,               0.004195,               0.004195,               0.004195
                    131,                 1.2304,                 1.2589,                0.96517,                0.87207,                0.30579,                 0.3531,                0.19562,                 1.0757,                 1.0325,                0.95592,                0.00415,                0.00415,                0.00415
                    132,                 1.1586,                 1.1739,                0.93742,                 0.8611,                0.30165,                 0.3519,                 0.1976,                 1.0745,                 1.0283,                0.95492,               0.004105,               0.004105,               0.004105
                    133,                 1.2318,                 1.2347,                0.98487,                 0.8651,                0.30165,                 0.3534,                0.19965,                  1.073,                  1.029,                0.95477,                0.00406,                0.00406,                0.00406
                    134,                 1.1644,                 1.2283,                0.92392,                  0.869,                0.30579,                 0.3576,                0.20136,                 1.0721,                 1.0235,                0.95469,               0.004015,               0.004015,               0.004015
                    135,                 1.2087,                 1.1722,                0.92839,                0.86302,                0.30165,                0.35558,                0.20156,                 1.0711,                 1.0183,                0.95395,                0.00397,                0.00397,                0.00397
                    136,                  1.222,                 1.2024,                0.96014,                0.85459,                0.30165,                0.35484,                0.20412,                 1.0729,                 1.0138,                0.95495,               0.003925,               0.003925,               0.003925
                    137,                 1.2106,                 1.1941,                0.96125,                0.84843,                0.32231,                0.35943,                0.20397,                 1.0718,                 1.0102,                0.95335,                0.00388,                0.00388,                0.00388
                    138,                 1.1933,                 1.1934,                0.90091,                0.84476,                0.31818,                0.35878,                0.20594,                 1.0701,                 1.0093,                0.95274,               0.003835,               0.003835,               0.003835
