                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                  2.165,                  1.235,                0.85453,                0.83709,                   0.21,                0.25305,                0.11588,                 2.1787,                 2.1416,                0.84677,             0.00063554,             0.00063554,             0.00063554
                    113,                  2.343,                 1.1508,                0.81455,                0.89114,                   0.22,                0.28064,                0.14001,                 1.9894,                 1.8172,                0.83717,             0.00063483,             0.00063483,             0.00063483
                    114,                 2.6449,                 1.2745,                 0.8002,                0.81457,                   0.26,                0.28456,                0.15168,                 1.8544,                 1.6334,                0.83061,             0.00063412,             0.00063412,             0.00063412
                    115,                 2.6282,                 1.2727,                 0.8281,                0.81322,                   0.28,                0.28584,                0.15186,                 1.8196,                 1.6321,                0.82591,             0.00063342,             0.00063342,             0.00063342
                    116,                 2.4631,                 1.2999,                0.83216,                0.71739,                   0.23,                 0.2049,                0.09493,                 2.0659,                 1.9461,                0.83838,             0.00063271,             0.00063271,             0.00063271
                    117,                 2.6084,                 1.3793,                0.84069,                0.72864,                   0.22,                0.19558,                0.09151,                 2.0954,                 1.8786,                 0.8398,               0.000632,               0.000632,               0.000632
                    118,                 2.6219,                 1.4383,                0.84011,                0.74975,                   0.26,                0.23103,                0.10277,                 2.0128,                 1.7028,                0.83362,              0.0006313,              0.0006313,              0.0006313
                    119,                 2.5546,                 1.3872,                0.83624,                0.80977,                   0.21,                 0.2317,                0.10025,                 2.0944,                  1.715,                0.84248,             0.00063059,             0.00063059,             0.00063059
                    120,                 2.5037,                 1.2119,                0.86462,                0.76302,                   0.19,                0.20232,                0.08826,                 2.1493,                 2.0812,                0.84889,             0.00062988,             0.00062988,             0.00062988
                    121,                 2.4832,                 1.3463,                0.80136,                0.76286,                0.22172,                0.20086,                0.09328,                 2.0731,                 2.0139,                0.84715,             0.00062918,             0.00062918,             0.00062918
                    122,                 2.3026,                 1.1799,                0.82389,                0.79224,                   0.21,                0.22452,                0.10673,                 2.0239,                 1.7367,                 0.8449,             0.00062847,             0.00062847,             0.00062847
                    123,                 2.4688,                 1.5167,                0.81642,                0.86562,                   0.22,                0.24254,                0.11735,                 1.9401,                 1.6267,                0.84234,             0.00062776,             0.00062776,             0.00062776
                    124,                 2.6149,                  1.303,                0.83122,                0.70961,                   0.19,                0.19379,                0.09064,                 1.8277,                 1.9221,                0.83124,             0.00062706,             0.00062706,             0.00062706
                    125,                  2.583,                 1.1914,                0.83443,                0.67222,                   0.17,                0.16538,                0.07177,                 1.9099,                 2.2735,                0.83876,             0.00062635,             0.00062635,             0.00062635
                    126,                 2.6232,                 1.5032,                0.84383,                0.81426,                   0.25,                0.26209,                0.11181,                 1.9507,                 1.8314,                0.84551,             0.00062564,             0.00062564,             0.00062564
                    127,                 2.4307,                 1.2603,                0.84849,                0.86325,                0.26569,                0.31129,                0.14845,                 1.9233,                 1.4411,                0.83495,             0.00062494,             0.00062494,             0.00062494
                    128,                 2.4426,                 1.3484,                0.83675,                0.88666,                0.23884,                0.28299,                0.15181,                 1.9787,                 1.5718,                0.83654,             0.00062423,             0.00062423,             0.00062423
                    129,                 2.5173,                 1.2556,                0.82987,                0.84506,                   0.23,                0.25664,                0.13175,                 2.0038,                 1.8357,                0.84144,             0.00062352,             0.00062352,             0.00062352
                    130,                 2.3616,                 1.2421,                0.79678,                0.81403,                   0.23,                0.25418,                0.12803,                 1.9457,                 1.9163,                0.83608,             0.00062282,             0.00062282,             0.00062282
                    131,                 2.2473,                 1.1993,                0.83199,                0.83878,                0.23117,                0.25437,                0.14039,                 1.8853,                 1.9114,                0.82923,             0.00062211,             0.00062211,             0.00062211
                    132,                 2.5437,                 1.2144,                0.81736,                0.80061,                0.21111,                0.23549,                0.11461,                 2.1463,                 2.2001,                0.84352,              0.0006214,              0.0006214,              0.0006214
                    133,                 2.3456,                 1.1551,                0.81727,                 0.7658,                   0.19,                0.21608,                0.08709,                 2.3562,                 2.4678,                0.86311,             0.00062069,             0.00062069,             0.00062069
                    134,                 2.5254,                 1.3289,                0.79837,                0.76744,                   0.19,                0.20918,                0.08302,                 2.3975,                 2.3259,                0.87064,             0.00061999,             0.00061999,             0.00061999
                    135,                 2.3152,                 1.1982,                0.81287,                0.77582,                    0.2,                0.21034,                0.07916,                 2.3959,                 2.1966,                 0.8719,             0.00061928,             0.00061928,             0.00061928
                    136,                 2.4965,                 1.2329,                0.85179,                0.79665,                   0.19,                0.19749,                0.08183,                 2.3397,                 2.0754,                0.86474,             0.00061857,             0.00061857,             0.00061857
                    137,                 2.5256,                 1.2592,                0.84069,                0.79263,                   0.15,                0.17284,                0.07573,                 2.3472,                 2.2655,                 0.8649,             0.00061787,             0.00061787,             0.00061787
                    138,                 2.5075,                 1.2405,                0.81006,                0.70177,                   0.12,                0.12773,                0.05532,                 2.4275,                 2.7748,                0.87354,             0.00061716,             0.00061716,             0.00061716
                    139,                 2.3192,                 1.2874,                0.84495,                0.73932,                   0.12,                0.11541,                0.04814,                 2.4762,                 2.6847,                0.87637,             0.00061645,             0.00061645,             0.00061645
                    140,                 2.3978,                 1.3349,                0.83266,                0.83803,                   0.23,                0.23372,                0.11417,                 2.0838,                 1.6629,                0.84479,             0.00061575,             0.00061575,             0.00061575
